escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E1,1,1,2026-07-03T21:15:20,0,2.13,17.5,1298,51,244,1023,3.861,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,2,2026-07-03T21:15:50,0,2.29,17.5,1297,51,244,1023,3.72,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,3,2026-07-03T21:16:20,0,2.43,17.48,1299,51,243,1022,3.543,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,4,2026-07-03T21:16:50,0,2.53,17.52,1298,51,243,1022,3.42,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E2,1,1,2026-07-03T21:07:34,1,2.88,17.55,1300,51,404,1023,3.068,1100,5109.2,0,,,2026-07-04T16:09:09.865Z,P2,E2,N=1,1,5109.2,0,85,0,freezeCount
E2,1,2,2026-07-03T21:08:04,1,3.17,17.48,1301,51,393,1022,3.212,1200,5483,0,,,2026-07-04T16:11:15.424Z,P2,E2,N=1,2,5483,0,101.2,0,freezeCount
E2,1,3,2026-07-03T21:08:34,1,3.2,17.51,1302,51,393,1022,3.064,1200,5482.8,0,,,2026-07-04T16:13:32.258Z,P2,E2,N=1,3,5482.8,0,129.5,0,freezeCount
E2,1,4,2026-07-03T21:09:04,1,3.29,17.51,1300,51,389,1022,3.069,1300,5520.9,0,,,2026-07-04T16:15:05.944Z,P2,E2,N=1,4,5520.9,0,86.8,0,freezeCount
E2,2,1,2026-07-04T16:22:58,5,9.17,18.86,1287,55,2001,1450,2.645,1800,5525.9,0,,,2026-07-04T15:58:03.222Z,P2,E2,N=5,1,5525.9,0,88,0,freezeCount
E2,2,2,2026-07-04T16:23:29,5,9.27,18.63,1288,55,2001,1450,3.072,1800,5529.5,0,,,2026-07-04T15:59:40.613Z,P2,E2,N=5,2,5529.5,0,84.4,0,freezeCount
E2,2,3,2026-07-04T16:23:59,5,9.24,18.76,1287,52,1926,1477,3.22,1900,5550.6,0,,,2026-07-04T16:01:15.053Z,P2,E2,N=5,3,5550.6,0,84.1,0,freezeCount
E2,2,4,2026-07-04T16:24:29,5,9.03,18.86,1286,51,1926,1477,2.925,1900,5447.9,0,,,2026-07-04T16:02:54.905Z,P2,E2,N=5,4,5447.9,0,94,0,freezeCount
E2,3,1,2026-07-04T16:37:57,10,15.84,21.91,1294,51,3999,2836,2.786,3000,5247.5,0,,,2026-07-04T15:01:10.327Z,P2,E2,N=10,1,5247.5,0,95.6,0,freezeCount
E2,3,2,2026-07-04T16:38:27,10,16.06,21.85,1295,52,3999,2836,2.823,2800,5229.1,0,,,2026-07-04T15:20:22.356Z,P2,E2,N=10,2,5229.1,0,75.7,0,freezeCount
